_id,studentId,personalityType,English,Geography,Civics,History,Biology,Physics,Chemistry,Maths,analyticalIndex,technicalIndex,creativeIndex,DOMINANT,CAUTIOUS,INSPIRING,SUPPORTIVE,title
21,27,ENTP,75,75,50,50,75,100,75,25,25,50,37.5,3,1,3,1,Social Science Professor
24,33,ESFP,100,75,75,100,75,100,100,75,75,50,75,0,3,3,2,Project Manager
25,29,INTJ,100,100,75,75,100,100,100,50,50,62.5,37.5,2,2,1,3,Mechanical Engineer
26,31,INTP,100,100,75,75,100,100,100,100,87.5,100,75,2,0,4,1,Physicist / Physics Researcher
27,32,ENTP,100,100,75,75,75,100,100,25,87.5,75,62.5,2,1,0,5,Entrepreneur
28,34,ESFP,75,100,50,100,100,75,50,0,75,37.5,62.5,0,2,4,2, Foreign Language Expert
29,35,ESTP,100,75,50,50,75,100,75,0,75,25,25,0,0,0,0,Interior design
30,36,ENTJ,100,75,100,75,75,100,75,0,62.5,62.5,62.5,2,2,4,0,Psychologists
31,38,INTP,100,75,50,75,100,100,100,50,75,62.5,75,3,3,2,0,Merchant Navy Officer
32,39,ESTJ,75,75,50,50,100,100,50,0,50,62.5,62.5,1,1,3,3,Communication Design
33,40,ESTP,100,100,100,100,100,75,75,0,50,25,37.5,0,1,2,5,Primary Teacher
34,41,ESTP,100,75,50,50,75,100,100,25,75,25,50,2,1,4,1,Architect
35,42,ESTP,75,75,25,25,100,75,75,0,50,25,75,1,3,4,0,Air Hostess
36,43,ESTJ,100,100,75,100,100,100,100,100,75,62.5,75,3,2,3,0,Chartered Accountant
37,44,ENTP,75,100,75,75,100,100,100,25,87.5,37.5,62.5,1,1,3,3,Custom Officer
38,48,ISTP,100,75,50,75,75,75,75,25,62.5,12.5,75,3,1,1,3,Cost Accountant
39,50,ESTP,100,75,75,75,75,100,100,0,87.5,25,75,1,2,0,5,Category Manager
40,51,ESTP,75,100,75,75,100,100,75,0,50,37.5,25,3,3,2,0,Digital Marketing Manager
41,28,ENTP,100,100,100,75,100,75,100,50,87.5,37.5,62.5,1,2,0,5,Cost Management Accountant (CMA)
42,30,ENFP,75,100,50,50,75,100,75,0,75,25,37.5,1,1,3,3,Big Data Analyst
43,37,ENFP,75,75,75,100,50,75,25,50,37.5,12.5,37.5,1,1,3,3,Banker
44,45,ISTP,100,100,100,75,100,100,75,25,37.5,12.5,62.5,0,2,1,5,Baker
45,46,ENTP,100,100,50,100,100,100,100,50,12.5,12.5,50,1,5,1,1, Bank Probationary Officer(BPO)
46,47,INFP,100,100,50,75,75,100,100,100,87.5,50,62.5,1,0,7,0,Caterer
47,49,ESTP,100,100,100,100,100,100,100,100,87.5,75,75,3,1,3,1,Chartered Financial Accountant(CFA)
48,53,ENTP,100,100,75,100,100,100,75,25,87.5,37.5,62.5,4,1,3,0,Web Designer
49,55,ENTP,75,75,100,75,100,75,75,50,75,75,75,1,2,2,3,Company Secretary
50,58,INTP,100,75,100,100,100,100,75,0,50,50,62.5,3,1,2,2,Aeronautical Engineering
51,60,ESTP,75,75,50,100,100,100,75,50,62.5,50,75,3,1,0,4,Agricultural Science
52,54,ESTP,100,75,75,100,100,100,100,0,75,50,62.5,1,2,2,3,Animation
53,56,ESTP,100,100,100,75,75,100,100,25,75,50,75,3,2,3,0,Architecture Engineering
54,59,ESTP,100,75,100,100,100,100,100,50,62.5,50,62.5,2,2,2,2,Automobile Engineering
55,61,ENTP,100,100,75,50,100,100,100,100,87.5,62.5,62.5,3,2,1,2,Ayurveda BAMS
56,62,ENTP,50,75,50,75,100,75,75,0,87.5,25,50,1,0,3,4,Biomedical Engineering
57,52,ESFP,75,100,75,75,100,100,75,0,25,25,50,1,0,6,1,Artificial Intelligence and Machine Learning Engineer
58,64,ENTP,100,100,75,75,100,100,75,25,37.5,25,50,2,0,3,2, Tourism and Travels
65,64,ENTP,100,100,75,75,100,100,75,25,37.5,25,50,2,0,3,2,Sports Management
66,64,ENTP,100,100,75,75,100,100,75,25,37.5,25,50,2,0,3,2,Social Worker
67,45,ISTP,100,100,100,75,100,100,75,25,37.5,12.5,62.5,0,2,1,5,Electrical and Electronics Engineering
68,64,ENTP,100,100,75,75,100,100,75,25,37.5,25,50,2,0,3,2,Medical Electronics Engineer
69,64,ENTP,100,100,75,75,100,100,75,25,37.5,25,50,2,0,3,2,Event Manager
70,45,ISTP,100,100,100,75,100,100,75,25,37.5,12.5,62.5,0,2,1,5,Industrial Engineering
71,65,ENTP,75,75,100,50,50,100,75,0,25,50,50,1,1,5,1,Instrumentation Engineering
72,75,ESTJ,50,100,50,100,75,75,75,0,62.5,50,25,2,1,2,3,Marine Engineering
73,76,ISTP,50,100,75,75,100,75,100,0,87.5,50,37.5,2,2,2,2,Mechanical Engineering
74,77,ESTJ,100,75,75,75,75,50,75,50,25,25,37.5,1,2,3,2,Educational School Counsellor
75,79,ESTP,100,100,100,75,100,100,100,25,87.5,62.5,75,4,3,1,0,Corporate Intelligence Analyst
76,81,ISFP,50,75,50,75,75,50,75,25,37.5,25,75,3,2,1,2,Computer Science Engineering
77,80,ISTJ,100,50,75,50,100,100,50,50,62.5,37.5,75,2,4,1,1,Ceramic Engineering
78,83,ENTJ,100,100,100,100,100,100,75,0,62.5,37.5,50,4,0,3,1,BioTechnology Engineering
79,86,ENTP,75,75,75,100,75,100,100,75,50,25,75,1,5,0,1,Consultant
80,89,ESTP,,,,,,,,,62.5,62.5,75,0,0,3,5, Chemical Engineering
82,90,ESTP,,,,,,,,,25,37.5,62.5,1,1,5,1,Choreography
83,96,ISFP,,,,,,,,,,,,,,,,Civil Engineering
84,97,ISTP,,,,,,,,,75,75,75,1,6,1,0, Mining Engineering
85,101,ENTP,100,100,100,100,100,75,100,100,87.5,62.5,62.5,0,2,5,1,Physiotherapy
86,103,ENTJ,75,100,75,50,75,50,75,25,62.5,50,50,1,2,2,2,Army Officer
87,102,ENTP,75,100,100,75,100,100,50,50,75,87.5,75,0,1,4,3, Sales Manager
89,120,ISTP,100,100,50,25,75,100,75,0,0,0,25,0,0,0,0,Research Analyst
90,121,ESTP,100,100,75,100,100,75,100,50,50,25,62.5,2,0,1,5,Public Relations Officer
91,122,ENTP,100,100,75,100,100,100,100,0,87.5,62.5,62.5,1,3,4,0,Product Manager
92,123,INTP,75,75,50,50,75,50,100,25,37.5,12.5,37.5,5,2,0,0, Police Officer
93,125,ISTP,75,100,50,75,100,75,100,0,37.5,37.5,50,2,1,2,3,Personal Financial Advisor
94,-127,ENFP,75,50,75,75,75,100,75,0,25,25,37.5,1,2,5,0,Marketing Manager
95,-129,ENTJ,100,50,50,75,100,50,100,0,75,0,75,3,2,1,2,Journalist
96,130,ESTP,75,100,75,100,75,100,50,0,62.5,25,50,1,3,3,1,Investment Banker
97,-131,ENTP,50,75,50,25,75,75,100,0,50,37.5,62.5,2,2,1,2,Hotel Manager
98,132,ESTP,100,100,100,75,100,100,100,0,62.5,37.5,25,0,3,2,3, Financial Analyst
99,133,ESTP,100,75,75,100,100,75,100,25,62.5,37.5,75,1,2,4,1,Fashion Merchandisers
100,99,ESFP,100,100,100,100,100,100,100,100,75,50,75,1,3,2,2,Entrepreneur
101,-126,ENTJ,75,50,50,75,100,75,75,50,37.5,37.5,75,2,2,1,3,Business Manager
102,128,ESTP,75,75,75,75,75,100,100,25,50,75,62.5,0,3,1,4,Pharmacy
103,136,ENTP,75,100,100,75,100,100,100,25,75,75,62.5,2,0,2,4,Metallurgy
104,-135,INTP,75,75,50,50,25,50,75,0,50,12.5,37.5,2,2,2,2, Mass Communication
105,140,INTP,100,75,25,50,100,100,100,0,50,25,62.5,2,4,1,1,Instrumental Music
106,124,ESTJ,50,50,100,25,100,50,100,0,25,12.5,37.5,1,0,6,1,Foreign Language
107,105,ENFP,75,75,100,75,50,50,75,25,37.5,37.5,37.5,1,1,4,2,Earth Sciences 
108,144,ESTP,75,100,100,50,100,100,75,100,87.5,87.5,75,3,2,2,1,Detective
109,151,ESTP,100,50,75,50,100,50,100,25,75,0,62.5,2,3,1,2,Cyber Security 
110,147,INTJ,100,100,100,50,100,100,100,75,75,37.5,62.5,3,1,1,3,Business Management
111,154,ENTP,100,100,50,50,100,75,75,75,75,50,75,1,2,3,2,Cinematography
112,153,ESFP,100,100,100,50,75,100,100,50,75,37.5,62.5,2,0,5,1, Biological Science
113,159,INTP,50,50,25,75,75,75,75,0,50,0,62.5,2,1,1,4,Vocal Music
114,163,ENTP,,,,,,,,,,,,,,,,Anthropology
116,162,INTP,75,100,100,50,75,100,75,25,75,62.5,75,4,3,0,1,Design
117,161,ESTJ,100,75,100,75,100,100,100,0,37.5,37.5,37.5,0,4,1,3,Art Restoration
118,172,ENTJ,75,100,100,25,100,100,100,50,50,50,62.5,4,2,2,0,Bachelor of Education
120,174,ENTP,75,100,75,50,100,100,100,0,50,50,62.5,4,1,1,2,Art Director
122,175,INTP,,,,,,,,,,,,,,,,Actuarial Science
123,177,ISTP,75,100,100,75,100,100,75,0,50,12.5,50,0,0,0,0,Archaeologists
124,203,ENFP,50,100,75,100,75,50,75,75,62.5,100,62.5,1,2,3,2,Wildlife Biology
125,208,ENTP,75,75,75,75,75,100,50,25,87.5,75,75,1,2,1,4,Physical Education Teacher
126,227,ENTP,50,50,0,50,50,75,75,0,50,62.5,50,3,1,4,0,Advertising
127,226,ESFJ,25,0,0,25,50,75,50,0,37.5,37.5,50,2,1,3,2,Manufacturing Science and Engineering
128,225,ISFJ,75,25,25,50,50,50,75,0,37.5,0,62.5,1,2,3,0,Computer Applications
129,224,INFJ,100,50,50,25,75,50,75,25,50,25,25,1,3,3,1,Bank Management
130,223,ISTP,100,100,50,50,100,75,100,25,62.5,37.5,50,2,3,2,1,Bachelor of Arts
131,222,ESTJ,100,50,50,25,75,100,75,0,62.5,37.5,62.5,1,2,2,3,Business Administration
132,221,ESFJ,75,0,75,25,50,50,50,50,25,37.5,50,2,0,5,1, Accountant
133,219,ESTP,75,25,75,50,50,25,50,50,62.5,62.5,62.5,3,2,3,0, Aerospace Engineering
134,218,ISTP,75,75,50,75,100,100,50,25,62.5,12.5,62.5,1,2,2,3,Astronomy and Astrophysicist
135,217,ENTJ,100,75,50,75,100,100,100,25,75,37.5,62.5,1,2,3,2,Banking Ombudsman
136,216,ESTP,100,75,50,0,75,75,75,0,37.5,37.5,62.5,1,1,3,3,Curator
137,215,ESTP,75,75,50,75,75,100,75,50,62.5,62.5,37.5,4,2,1,1, Hospital Management
138,214,INFJ,75,50,75,75,75,100,100,50,62.5,12.5,62.5,4,3,0,1,Environmental Science
139,207,ESTP,25,75,50,100,100,100,100,25,75,12.5,62.5,0,1,4,3,Monuments and Sculpture Restoration
140,220,ENTJ,50,100,50,100,50,75,75,50,37.5,37.5,62.5,2,0,3,3,Logistics and Supply Chain Manager
141,212,ENTP,100,100,100,75,100,75,50,0,62.5,75,75,5,0,0,3,Electronics and Communication Engineering
142,229,ESTP,75,75,50,75,75,100,50,25,50,62.5,50,0,2,2,4, Film Director
143,220,ENTJ,50,100,50,100,50,75,75,50,37.5,37.5,62.5,2,0,3,3,Film and Drama Production
144,211,ESFJ,75,75,50,50,75,75,75,25,25,12.5,62.5,1,1,5,0,Fine Arts
145,230,ESTP,75,75,50,50,100,100,75,25,62.5,50,50,3,0,2,3,Fisheries
146,238,ESTP,75,75,25,100,100,75,100,0,75,12.5,37.5,3,0,3,2,Floriculture
147,239,ESTP,100,100,25,75,100,100,100,0,75,50,50,2,1,3,2,Food science nutrition
148,127,ESTP,75,75,75,75,100,75,75,0,75,12.5,37.5,0,2,1,4,Food Technology
149,126,ENTJ,100,100,75,50,100,100,100,50,50,37.5,50,1,0,3,4,Forestry
150,242,ENTP,100,100,50,100,75,25,100,25,50,12.5,50,1,1,3,2,Graphic Designing
151,250,ENTP,75,100,100,75,75,100,50,25,62.5,37.5,50,0,1,5,1,Home Science
152,251,ENTP,100,75,75,100,100,100,75,75,87.5,75,75,3,1,2,2,Homeopathy
153,257,ENFP,100,100,75,100,100,100,100,0,62.5,50,62.5,0,3,3,1,Information Communication and Entertainment
154,259,ENTP,100,100,75,75,75,100,100,25,75,37.5,75,2,2,2,2,Insurance 
155,260,ENFP,50,75,50,75,75,100,100,50,62.5,25,37.5,1,0,1,2,Oceanography
156,265,INTP,50,75,100,100,100,75,100,25,87.5,25,50,3,1,1,3,Textile Engineering
157,270,ISFP,100,100,75,75,75,100,100,100,75,62.5,75,1,2,0,4,Zoology
158,273,ESTJ,75,75,50,50,100,50,75,50,25,25,37.5,0,3,4,1,Polymer Engineering
159,274,ESTP,100,100,25,50,50,75,75,25,62.5,37.5,62.5,2,2,2,2,Liberal Studies
160,278,ENTJ,75,100,50,75,100,100,75,25,75,75,75,4,2,1,1,Library Sciences
161,280,ISTJ,100,100,100,100,75,100,75,25,75,62.5,62.5,2,1,2,3,Meteorology
162,248,INFP,50,50,25,75,75,75,50,0,25,0,37.5,0,0,0,0,Montessori Teaching
163,275,ENTP,100,100,100,75,100,100,100,25,87.5,62.5,62.5,2,0,3,3,Museology
164,131,ESTP,100,75,75,75,100,75,75,0,25,25,50,1,1,4,2,Naturopathy
165,253,ISFJ,75,25,100,75,50,100,100,25,50,37.5,37.5,3,0,2,2,Naval Architecture Engineering
166,282,ISFJ,100,100,75,100,100,100,100,50,50,62.5,75,0,3,2,3,Performing Arts
167,129,ENTJ,75,100,50,50,75,100,100,25,62.5,25,50,2,0,3,2,Photography
168,231,INFJ,100,100,25,75,75,100,100,25,62.5,25,25,0,0,0,0,Rehabilitation Psychology
169,235,ENTP,100,100,75,75,100,75,100,25,62.5,12.5,62.5,2,3,2,1,Rehabilitation Therapist
170,241,ESTP,100,100,100,100,100,100,100,50,50,50,62.5,1,0,6,1,Robotics
171,245,ISFP,75,100,25,75,100,100,75,0,37.5,25,50,2,1,3,2,Siddha
172,261,ENTP,100,75,50,25,100,100,50,0,37.5,12.5,62.5,1,1,2,2,Special Educator
173,277,ENTP,100,75,75,50,75,100,75,50,12.5,0,62.5,1,0,3,3,Speech Language and Hearing
174,283,ESTP,75,100,50,100,100,100,100,100,87.5,62.5,62.5,2,0,4,2,Statistical Science
175,284,ENFP,100,100,75,100,75,50,100,75,87.5,62.5,75,2,2,1,3,Unani
176,234,ESTP,100,100,75,75,100,100,50,50,75,62.5,50,3,0,3,1,Veterinary Science
